Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1993-0237-BEL|1993|0237||Natural|Hydrological|Flood|Riverine flood|||Belgium|BEL|Western Europe|Europe||||||No|No|||Km2|||||1993|12|20|1993|12|31||||||||||17000|34440|49,3613321649381||||
1993-0359-BEL|1993|0359||Technological|Technological|Transport accident|Water||Cargo "Westernwinner" - Petrolier "Bristish Trent"|Belgium|BEL|Western Europe|Europe|Ostende||||||||||||||1993|6|3|1993|6|3|9|27|||27|||21000|42543|||49,3613321649381||||
1993-0130-BGR|1993|0130||Natural|Meteorological|Storm|Convective storm|Winter storm/Blizzard||Bulgaria|BGR|Eastern Europe|Europe|Silista, Roussa, Plovdiv|||||||||Kph|||||1993|3|8|1993|3|8|||5000||5000|||||||49,3613321649381||||
1993-0404-BGR|1993|0404||Technological|Technological|Transport accident|Road|||Bulgaria|BGR|Eastern Europe|Europe|Bjala||||||||||||||1993|4|7|1993|4|7|27|19|||19|||||||49,3613321649381||||
1993-0047-BLR|1993|0047||Natural|Hydrological|Flood|Riverine flood|||Belarus|BLR|Eastern Europe|Europe|Stolin, Luninets, Pinsk districts (Brest region), Petrikov, Zhitkovichi, Leltchitsy districts (Gomel region) Minsk region|Heavy rain||||No|No|116|2300|Km2||||Prypyat River|1993|7|25|1993|8|12|||40000||40000|||||100000|202588|49,3613321649381||||
1993-0167-CHE|1993|0167||Natural|Meteorological|Storm|Convective storm|Hail||Switzerland|CHE|Western Europe|Europe|Bern area|||||||||Kph|||||1993|5|19|1993|5|19||||||||||1760|3566|49,3613321649381||||
1993-0237-DEU|1993|0237||Natural|Hydrological|Flood|Riverine flood|||Germany|DEU|Western Europe|Europe|Saarland, Rheinland-Palatinate, Baden-Wuerttemberg, Bavaria states|Brief torrential rain||||No|No|||Km2||||Mosel, Saar, Rhine, Neckar, Aisch, Nahe|1993|12|21|1993|12|31|5||100000||100000|||180000|364658|600000|1215526|49,3613321649381||||
1993-0096-DEU|1993|0096||Natural|Meteorological|Storm||||Germany|DEU|Western Europe|Europe|Hamburg||||||||161|Kph|||||1993|1|14|1993|1|14|6|||||||||380000|769833|49,3613321649381||||
1994-0015-AUT|1994|0015||Natural|Meteorological|Storm|||Lore|Austria|AUT|Western Europe|Europe||||||No|No|||Kph|||||1994|1|27|1994|1|29||||||||||2000|3949|50,6484026622566||||
1994-0015-CHE|1994|0015||Natural|Meteorological|Storm|||Lore|Switzerland|CHE|Western Europe|Europe||||||No|No|||Kph|||||1994|1|27|1994|1|29||||||||||5000|9872|50,6484026622566||||
1994-0048-DEU|1994|0048||Natural|Hydrological|Flood|Riverine flood|||Germany|DEU|Western Europe|Europe||||||No|No|||Km2|||||1994|1|7|1994|1|12||||||||||200000|394879|50,6484026622566||||
1994-0098-DEU|1994|0098||Natural|Hydrological|Flood|Riverine flood|||Germany|DEU|Western Europe|Europe|Saxony-Anhalt, Thuringia, Baden-Wuerttemberg, Bavaria||||||||1497|Km2|||||1994|4|13|1994|4|13|2|||||||||193500|382046|50,6484026622566||||
1994-0015-DEU|1994|0015||Natural|Meteorological|Storm|||Lore|Germany|DEU|Western Europe|Europe||||||No|No||170|Kph|||||1994|1|27|1994|1|29|6|||||||330000|651551|400000|789758|50,6484026622566||||
1990-9595-GRC|1990|9595||Natural|Climatological|Drought|Drought|||Greece|GRC|Southern Europe|Europe|||Heat wave|||No|No|||Km2|||||1990|3||1990|3|||||||||||1000000|2239848|44,6458774383636||||
1990-0243-ESP|1990|0243||Technological|Technological|Transport accident|Road|||Spain|ESP|Southern Europe|Europe|Madrid||||||||||||||1990|12|28|1990|12|28|11|26|||26|||||||44,6458774383636||||
1990-0633-ESP|1990|0633||Technological|Technological|Transport accident|Water||Chalutier "Llha De Sao Vincente" and Vraquier "Ionian Wind"|Spain|ESP|Southern Europe|Europe|Atlantic sea (south Gran Canaria)||||||||||||||1990|10|18|1990|10|18|20|||||||||||44,6458774383636||||
1990-9025-ESP|1990|9025||Natural|Climatological|Drought|Drought|||Spain|ESP|Southern Europe|Europe|Andalucía, Extremadura, Castilla la Mancha (Southern)|||||Yes|No|||Km2|||||1990|9||1995|||||6000000||6000000|||||4500000|10079318|44,6458774383636||||
1990-0426-ESP|1990|0426||Technological|Technological|Miscellaneous accident|Fire||Dancing|Spain|ESP|Southern Europe|Europe|Saragosse||||||||||||||1990|1|14|1990|1|14|43|||||||||||44,6458774383636||||
1990-0151-ESP|1990|0151||Natural|Meteorological|Storm||||Spain|ESP|Southern Europe|Europe||||||||||Kph|||||1990|12|11|1990|12|11|8|||||||||||44,6458774383636||||
1990-0721-ESP|1990|0721||Natural|Meteorological|Storm|||Ottilie and Polly|Spain|ESP|Southern Europe|Europe||||||No|No|||Kph|||||1990|2|13|1990|2|15|1|||||||||||44,6458774383636||||
